doc_id,title,resolved_url,fetched_at,word_count
James_Outram,James Outram,https://en.wikipedia.org/wiki/James_Outram,2026-08-22,21
William_Hodson,William Hodson,https://en.wikipedia.org/wiki/William_Hodson,2026-08-22,37
Meerut,Meerut,https://en.wikipedia.org/wiki/Meerut,2026-08-22,6740
Delhi,Delhi,https://en.wikipedia.org/wiki/Delhi,2026-08-22,8374
Kanpur,Kanpur,https://en.wikipedia.org/wiki/Kanpur,2026-08-22,3248
Jhansi,Jhansi,https://en.wikipedia.org/wiki/Jhansi,2026-08-22,5171
Lucknow,Lucknow,https://en.wikipedia.org/wiki/Lucknow,2026-08-22,9890
Barrackpore,Barrackpore,https://en.wikipedia.org/wiki/Barrackpore,2026-08-22,2361
Gwalior,Gwalior,https://en.wikipedia.org/wiki/Gwalior,2026-08-22,8178
Bareilly,Bareilly,https://en.wikipedia.org/wiki/Bareilly,2026-08-22,6622
Agra,Agra,https://en.wikipedia.org/wiki/Agra,2026-08-22,8620
Arrah,Siege of Arrah,https://en.wikipedia.org/wiki/Siege_of_Arrah,2026-08-22,3749
Indian_Rebellion_1857,Indian Rebellion of 1857,https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857,2026-08-22,15903
Siege_of_Delhi,Siege of Delhi (1857),https://en.wikipedia.org/wiki/Siege_of_Delhi_(1857),2026-08-22,4920
Bahadur_Shah_Zafar,Bahadur Shah Zafar,https://en.wikipedia.org/wiki/Bahadur_Shah_Zafar,2026-08-22,2601
Rani_of_Jhansi,Rani of Jhansi,https://en.wikipedia.org/wiki/Rani_of_Jhansi,2026-08-22,5415
Mangal_Pandey,Mangal Pandey,https://en.wikipedia.org/wiki/Mangal_Pandey,2026-08-22,2338
Nana_Sahib,Nana Saheb Peshwa II,https://en.wikipedia.org/wiki/Nana_Saheb_Peshwa_II,2026-08-22,6108
Tantia_Tope,Tatya Tope,https://en.wikipedia.org/wiki/Tatya_Tope,2026-08-22,864
Bakht_Khan,Bakht Khan,https://en.wikipedia.org/wiki/Bakht_Khan,2026-08-22,948
Hazrat_Mahal,Begum Hazrat Mahal,https://en.wikipedia.org/wiki/Begum_Hazrat_Mahal,2026-08-22,858
Charles_Canning,"Charles Canning, 1st Earl Canning","https://en.wikipedia.org/wiki/Charles_Canning,_1st_Earl_Canning",2026-08-22,1487
Henry_Lawrence,Henry Lawrence,https://en.wikipedia.org/wiki/Henry_Lawrence,2026-08-22,91
Hugh_Rose,"Hugh Rose, 1st Baron Strathnairn","https://en.wikipedia.org/wiki/Hugh_Rose,_1st_Baron_Strathnairn",2026-08-22,1444
John_Nicholson,John Nicholson (East India Company officer),https://en.wikipedia.org/wiki/John_Nicholson_(East_India_Company_officer),2026-08-22,4731
Colin_Campbell,"Colin Campbell, 1st Baron Clyde","https://en.wikipedia.org/wiki/Colin_Campbell,_1st_Baron_Clyde",2026-08-22,1895
Siege_of_Cawnpore,Siege of Cawnpore,https://en.wikipedia.org/wiki/Siege_of_Cawnpore,2026-08-22,8164
East_India_Company,East India Company,https://en.wikipedia.org/wiki/East_India_Company,2026-08-22,7952
Bengal_Army,Bengal Army,https://en.wikipedia.org/wiki/Bengal_Army,2026-08-22,3429
Doctrine_of_Lapse,Doctrine of lapse,https://en.wikipedia.org/wiki/Doctrine_of_lapse,2026-08-22,770
Pattern_1853_Enfield,Pattern 1853 Enfield,https://en.wikipedia.org/wiki/Pattern_1853_Enfield,2026-08-22,2085
Government_of_India_Act_1858,Government of India Act 1858,https://en.wikipedia.org/wiki/Government_of_India_Act_1858,2026-08-22,1254
Henry_Havelock,Henry Havelock,https://en.wikipedia.org/wiki/Henry_Havelock,2026-08-22,1838
Siege_of_Lucknow,Siege of Lucknow,https://en.wikipedia.org/wiki/Siege_of_Lucknow,2026-08-22,5064
Capture_of_Jhansi,Siege of Jhansi,https://en.wikipedia.org/wiki/Siege_of_Jhansi,2026-08-22,882
Battle_of_Gwalior,Central Indian campaign of 1858,https://en.wikipedia.org/wiki/Central_Indian_campaign_of_1858,2026-08-22,2244
